Timestamp, [Frequently makes suggestions about how to do things in new or more effective ways at work], [Often suggests changes to work projects in order to make them better], [Often speaks up with recommendations about how to fix work-related problems], [Frequently makes suggestions about how to improve work methods or practices.], [Regularly proposes ideas for new or more effective work methods.], [Defends organizational programs that are worthwhile when others unfairly criticize the programs.], [Expresses support for productive work procedures when others express uncalled for criticisms of the procedures], [Speaks up in support of organizational policies that have merit when others raise unjustified concerns about the policies.], [Defends useful organizational policies when other employees unfairly criticize the policies.], [Defends effective work methods when others express invalid criticisms of the methods]," [Stubbornly argues against changing work methods, even when the proposed changes have merit]"," [Speaks out against changing work policies, even when making changes would be for the best]"," [Vocally opposes changing how things are done, even when changing is inevitable.]"," [Rigidly argues against changing work procedures, even when implementing the changes makes sense]"," [Vocally argues against changing work practices, even when making the changes is necessary]", [Often bad-mouths the organization’s policies or objectives], [Often makes insulting comments about work-related programs or initiatives], [Frequently makes overly critical comments regarding how things are done in the organization.], [Often makes overly critical comments about the organization’s work practices or methods.]," [Harshly criticizes the organization’s policies, even though the criticism is unfounded.]","I'm interested in your experiences at Davidson College. Specifically, I am interested in when you have (or have not) voluntarily expressed ideas, information, or opinions focused on effecting functional change at Davidson.  

What is one instance in which you have chose to express (or chosen to not express) yourself? Please describe your experience in a short paragraph. "
1/27/2026 15:18:33,2,2,3,2,1 - strongly disagree,4,4,3,4,4,1 - strongly disagree,1 - strongly disagree,1 - strongly disagree,1 - strongly disagree,1 - strongly disagree,1 - strongly disagree,1 - strongly disagree,1 - strongly disagree,1 - strongly disagree,1 - strongly disagree,I have given my opinion as a member of Patterson Court Council on student life and ways in which students voices can be effectively heard by the board of trustees. 
1/27/2026 15:20:02,4,5,5,6,5,4,5,5,4,5,5,4,4,4,4,2,1 - strongly disagree,2,2,2,"The meal services where I have requested to bring in more food options catered to people who cannot consume certain food items due to religious reasons (Halal meat for instance). 
The college did in fact introduce a Halal meat section in one of the counters in Commons, thereby listening to people's suggestions."
1/27/2026 15:20:34,3,3,3,5,5,5,6,5,5,5,2,2,1 - strongly disagree,1 - strongly disagree,1 - strongly disagree,4,2,3,2,1 - strongly disagree,"When the social policies changes for PCC, I was vocal about disliking the change. I filled out the form that was sent out by SGA and expressed my opinions honestly. I also attended a focus group on how to make the policy better.  "
1/27/2026 15:21:01,3,4,5,5,3,6,5,2,2,4,1 - strongly disagree,2,2,2,2,1 - strongly disagree,1 - strongly disagree,2,2,1 - strongly disagree,
1/27/2026 15:21:19,3,5,2,2,4,5,4,3,5,3,1 - strongly disagree,1 - strongly disagree,2,2,2,2,1 - strongly disagree,3,2,1 - strongly disagree,I have expressed my ideas about change at Davidson through the course evaluation feedback that is sent to students at the end of every semester. I have proposed alternative ways to structure courses and provided my opinions about which activities were beneficial and which were not. 
1/27/2026 15:21:42,2,7 - strongly agree,2,2,6,6,7 - strongly agree,7 - strongly agree,5,5,4,4,5,1 - strongly disagree,1 - strongly disagree,1 - strongly disagree,1 - strongly disagree,1 - strongly disagree,3,1 - strongly disagree,"in seminar or discussed based classes, I often interpret the readings differently from my classmates and freely share my thoughts "
1/27/2026 15:22:05,5,3,4,4,5,3,4,3,4,4,2,3,2,2,1 - strongly disagree,2,1 - strongly disagree,1 - strongly disagree,1 - strongly disagree,1 - strongly disagree,"I found myself more likely to express changes at Davidson College in areas and fields that are more relevant to my day-to-day schedule and lifestyle. Specifically, I spend a lot of time doing work, studying, and taking classes in Wall. Therefore, over the past couple of years, I have found myself advocating more for positive changes that would benefit Wall and the students and faculty who spend their time within the building. On the other hand, I am less likely to criticize something negative about Wall or what happens within the building itself. "
1/27/2026 15:22:28,2,3,5,5,4,1 - strongly disagree,3,3,3,3,1 - strongly disagree,1 - strongly disagree,1 - strongly disagree,1 - strongly disagree,1 - strongly disagree,1 - strongly disagree,1 - strongly disagree,1 - strongly disagree,1 - strongly disagree,1 - strongly disagree,"One time at Davidson, my buddy built a wooden counter-top that extended off our apartment balcony. The school took it from us. They said it was unsafe. Collectively, my friends and I expressed our ideas to RLO in a meeting. We explained to them how the bar-top fosters community around Davidson College. "
1/27/2026 15:22:42,3,5,2,2,2,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,"I have not expressed for the formation of anything really at Davidson. I spent the majority of my time in an already established group that I came into as a freshman, and soccer truly did take up a lot of time, but also provide me with a structure and familial framework that I didn't feel like I needed to push for anything else while at Davidson. I have always valued Davidson and have also had my negative thoughts, but have never taken the time to push for anything of functional change. "
1/27/2026 15:22:54,2,3,3,3,2,5,3,3,3,3,3,3,3,3,3,1 - strongly disagree,1 - strongly disagree,3,2,1 - strongly disagree,"I feel like ad students there are not any ways in which to give feedback to the institution freely, you can best give it when it is asked through surveys. One example of this is the course feedback survey where I have answered honestly experiences with professors."
1/27/2026 15:22:57,4,4,5,4,5,6,7 - strongly agree,4,4,5,1 - strongly disagree,1 - strongly disagree,1 - strongly disagree,2,1 - strongly disagree,3,1 - strongly disagree,2,2,2,"Davidson has lots of policies at Davidson that could benefit from change. The current one I've heard is about the meal plan for the class of 28 but often those complaints have not been heard by the school, so I myself am less likely to not express myself when it comes to change since it is currently not helping to change anything."
1/27/2026 15:23:01,4,6,4,4,4,6,4,3,3,5,2,2,3,1 - strongly disagree,1 - strongly disagree,1 - strongly disagree,1 - strongly disagree,2,2,1 - strongly disagree,I've chosen to express myself in team meetings for a previous on-campus job when asked about things that could have been done better regarding student working conditions and resources. 
1/27/2026 15:23:12,4,6,6,5,4,5,5,4,4,5,3,3,4,3,3,4,3,4,3,4,I don't think I've had any instance of expressing a need for change at Davidson. I don't think I've though of the need for change except for the required unlimtited meal plan.
1/27/2026 15:23:13,2,3,5,2,2,5,5,5,5,5,3,3,3,3,3,4,1 - strongly disagree,2,2,2,"When Davidson implemented the new cat card scanner into pcc parties, I was asked to input my opinion on how it was going among the student body. I was asked because I had worked as a risk manager at one of the parties, in which students were climbing walls to get into the party because the line was too long to scan in to the party. Additionally, the wristband situation for people over 21 was a hassle to deal with as students were trying to hand off their wristbands to others to get alcohol."
1/27/2026 15:24:25,5,3,5,5,3,3,3,3,5,6,2,2,3,2,3,5,3,2,3,3,"There is a significant change regarding our dining options starting from my year class of 28. We are forced to purchase a full meal plan instead of choosing it. The Commons food is not good enough, which sometimes makes me feel depressed. I really wish we could get the right back to choose our own meal plan."
1/27/2026 15:24:44,4,3,3,3,3,3,3,3,3,3,2,3,2,3,3,2,2,2,2,2,"I used to engage in conversations with the international student program's directors to promote events that would foster close faculty-student relationships on campus, advocating for better support for international students on campus "
1/27/2026 15:25:34,3,4,3,3,4,6,5,5,4,5,2,4,4,3,5,5,5,5,5,4,"I have not really been vocally expressing myself, but I always complain about how we can only complete two degrees at Davidson, and especially as international students who rely on these degrees for a visa extension. While I am not seeking to do three degrees, I have met people who have wished so, and there are other limitations toward international students that I have choiced to a staff member for student-support improvement. These are not particularly assertively voiced, so I wouldn't say they are impactful, but someone has listened to them."
